id,name,symbol,quantity,percentageChange,change,price,previousClose,high,low,lastTradedTime,issueDate,turnover,sharevolume,tradevolume,marketCap,marketCapPercentage,open,closingPrice,crossingVolume,crossingTradeVol,status,Scrape_time,Date
204,ABANS ELECTRICALS PLC,ABAN.N0000,29,-3.787878787878788,-6.25,158.75,165.0,166.5,158.0,1678429101996,01/JAN/1984,30936.5,195,8,811301400.0,0.0,166.5,158.75,195,8,0,2023-03-10 10:32:25.738173,2023-03-10
2065,ACCESS ENGINEERING PLC,AEL.N0000,451,-2.8776978417266186,-0.4,13.5,13.9,13.9,13.4,1678434276006,27/MAR/2012,7802806.6,573292,124,13500000000.0,0.0,13.7,13.5,573292,124,0,2023-03-10 10:32:25.738173,2023-03-10
472,ACL CABLES PLC,ACL.N0000,600,-3.055229142185664,-2.6,82.5,85.1,85.9,82.4,1678433753835,01/JAN/1976,28385416.9,341822,371,19764914400.0,0.0,85.9,82.5,341822,371,0,2023-03-10 10:32:25.738173,2023-03-10
406,ACL PLASTICS PLC,APLA.N0000,3,-2.764423076923077,-11.5,404.5,416.0,410.0,400.25,1678433435193,05/APR/1995,93731.0,231,14,1703956250.0,0.0,410.0,404.5,231,14,0,2023-03-10 10:32:25.738173,2023-03-10
554,ACME PRINTING & PACKAGING PLC,ACME.N0000,25000,1.492537313432836,0.1,6.8,6.7,6.8,6.8,1678433066909,01/JAN/1956,201280.0,29600,7,646000000.0,0.0,6.8,6.8,29600,7,0,2023-03-10 10:32:25.738173,2023-03-10
163,AGALAWATTE  PLANTATIONS  PLC,AGAL.N0000,201,-1.5527950310559007,-0.5,31.7,32.2,32.2,31.2,1678433485256,22/JAN/1996,1633721.3,51610,76,4953125000.0,0.0,32.2,31.7,51610,76,0,2023-03-10 10:32:25.738173,2023-03-10
2026,AGSTAR PLC,AGST.N0000,10,-2.255639097744361,-0.3,13.0,13.3,13.4,12.9,1678433945910,16/FEB/2012,11922613.0,915804,137,5996763045.0,0.0,13.4,13.0,915804,137,2,2023-03-10 10:32:25.738173,2023-03-10
144,AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,201,-3.0944625407166124,-1.9,59.5,61.4,60.5,59.5,1678433289241,01/JAN/1980,239708.5,4007,14,20009255595.0,0.0,60.5,59.5,4007,14,0,2023-03-10 10:32:25.738173,2023-03-10
343,AITKEN SPENCE PLC,SPEN.N0000,300,-0.5385996409335727,-0.75,138.5,139.25,139.25,138.5,1678430833761,01/JAN/1983,415062.0,2986,8,56230452232.5,0.0,139.25,138.5,2986,8,0,2023-03-10 10:32:25.738173,2023-03-10
395,ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,990,-0.14814814814814814,-0.1,67.4,67.5,68.0,65.0,1678432528259,01/JAN/1959,514808.2,7737,31,2271110400.0,0.0,68.0,67.4,7737,31,0,2023-03-10 10:32:25.738173,2023-03-10
3082,ALUMEX PLC,ALUM.N0000,10000,-1.1363636363636365,-0.1,8.7,8.8,8.9,8.5,1678433189928,31/MAR/2014,4385966.6,506715,141,5207869416.0,0.0,8.8,8.7,506715,141,2,2023-03-10 10:32:25.738173,2023-03-10
3046,AMANA BANK PLC,ABL.N0000,20000,0.0,0.0,2.8,2.8,2.9,2.7,1678433765071,29/JAN/2014,1263516.1,454398,57,7795058630.8,0.0,2.8,2.8,454398,57,0,2023-03-10 10:32:25.738173,2023-03-10
364,AMANA TAKAFUL PLC,ATL.N0000,1111,0.0,0.0,12.0,12.0,12.0,12.0,1678426668192,27/NOV/2006,36000.0,3000,2,2160001560.0,0.0,12.0,12.0,3000,2,2,2023-03-10 10:32:25.738173,2023-03-10
